sample,genotype
CD0359a,mlh.1
CD0359c,mlh.1
CD0360a,mlh.1
CD0360c,mlh.1
CD0360d,mlh.1
CD0361c,mlh.1
CD0362a,mlh.1
CD0362c,mlh.1
CD0362d,mlh.1
CD0363a,mlh.1
CD0363c,mlh.1
CD0364a,mlh.1
CD0364c,mlh.1
CD0364d,mlh.1
CD0365a,mlh.1
CD0367c,mlh.1
CD0367d,mlh.1
CD0369a,mlh.1
CD0369c,mlh.1
CD0369d,mlh.1
CD0369e,mlh.1
CD0369f,mlh.1
CD0370a,mlh.1
CD0370c,mlh.1
CD0370d,mlh.1
CD0370e,mlh.1
CD0370f,mlh.1
CD0373a,mlh.1
CD0373c,mlh.1
CD0373d,mlh.1
CD0373e,mlh.1
CD0373f,mlh.1
CD0373g,mlh.1
CD0373h,mlh.1
CD0373j,mlh.1
CD0373k,mlh.1
CD0374a,mlh.1
CD0374c,mlh.1
CD0374d,mlh.1
CD0374e,mlh.1
CD0374f,mlh.1
CD0374g,mlh.1
CD0374h,mlh.1
CD0374i,mlh.1
CD0375a,mlh.1
CD0375c,mlh.1
CD0375d,mlh.1
CD0375e,mlh.1
CD0376c,mlh.1
CD0378a,mlh.1
CD0378c,mlh.1
CD0378d,mlh.1
CD0378g,mlh.1
CD0378k,mlh.1
CD0379a,mlh.1
CD0379c,mlh.1
CD0379d,mlh.1
CD0379e,mlh.1
CD0379f,mlh.1
CD0379g,mlh.1
CD0379h,mlh.1
CD0379i,mlh.1
CD0379j,mlh.1
CD0379k,mlh.1
CD0381a,mlh.1
CD0381c,mlh.1
CD0381d,mlh.1
CD0382a,mlh.1
CD0382c,mlh.1
CD0383a,mlh.1
CD0383c,mlh.1
CD0383d,mlh.1
CD0383e,mlh.1
CD0383f,mlh.1
CD0384a,mlh.1
CD0384c,mlh.1
CD0384d,mlh.1
CD0384d2,mlh.1
CD0384e,mlh.1
CD0384f,mlh.1
CD0385a,mlh.1
CD0385c,mlh.1
CD0385d,mlh.1
CD0385e,mlh.1
CD0385f,mlh.1
CD0386a,mlh.1
CD0386c,mlh.1
CD0386d,mlh.1
CD0386e,mlh.1
CD0387a,mlh.1
CD0387c,mlh.1
CD0387d,mlh.1
CD0388a,mlh.1
CD0388c,mlh.1
CD0388d,mlh.1
CD0388f,mlh.1
CD0389a,mlh.1
CD0389c,mlh.1
CD0389d,mlh.1
CD0389e,mlh.1
CD0389f,mlh.1
CD0389g,mlh.1
CD0389h,mlh.1
